Eternals_(film)	123999	0.5691	0.8692
Lisa_Bonet	123926	0.5362	0.8833
Jennifer_Syme	123855	0.493	0.6364
John_Heard_(actor)	123670	0.3227	0.8613
Jamie_Foxx	123535	0.4109	0.941
1968_United_States_presidential_election	123439	0.7068	0.9732
Orson_Welles	123245	0.3344	0.9583
Lynda_Carter	123116	0.2563	0.8607
Harry_Melling_(actor)	123034	0.3805	0.825
Jenny_McCarthy	122956	0.4248	0.8889
Meryl_Streep	122727	0.2173	0.915
Schitt's_Creek	122650	0.1441	0.5891
Hailey_Baldwin	122583	0.3307	0.7059
Daniel_Craig	122439	0.388	0.9221
Jennifer_Connelly	122223	0.4001	0.894
Debbie_Reynolds	122140	0.4739	0.9363
Billie_Lourd	121947	0.5674	0.8364
Nicolas_Cage	121925	0.2871	0.922
Rachel_Miner	121761	0.7982	0.8367
Taylor_Momsen	121548	0.2178	0.866
James_Callaghan	121430	0.8376	0.9708
Non-penetrative_sex	121274	0.7916	0.8898
Tony_Blair	121220	0.5371	0.9786
Ashley_Biden	121214	0.6797	0.8333
Fennec_Shand	121074	0.4948	0.8684
List_of_Schitt's_Creek_episodes	120932	0.5812	0.619
Josh_Brolin	120901	0.439	0.9503
Gillian_Anderson	120849	0.2355	0.906
Ariana_Grande	120742	0.1043	0.8124
Doctor_Strange_in_the_Multiverse_of_Madness	120657	0.5975	0.8795
Bob_Denver	120655	0.5028	0.8553
Isla_Fisher	120650	0.3123	0.832
Julia_Roberts	120300	0.2799	0.9242
Happiest_Season	120278	0.1963	0.3827
Michael_Sheen	120159	0.3486	0.8922
Miley_Cyrus	119966	0.2018	0.8566
KSI_(entertainer)	119895	0.4706	0.8898
Chris_Evans_(actor)	119647	0.3039	0.8088
Dimple_Kapadia	119616	0.4999	0.9153
Wladimir_Klitschko	119491	0.5385	0.916
Marfan_syndrome	119423	0.6477	0.961
Princess_Charlotte_of_Cambridge	119273	0.8413	0.8966
Joe_Alwyn	119268	0.3316	0.75
Olivia_Wilde	119243	0.3638	0.9116
Zendaya	119240	0.232	0.8097
List_of_countries_and_dependencies_by_population	119212	0.4689	0.9432
Great_conjunction	119071	0.1964	0.4333
Germany	118958	0.3419	0.9444
Ivana_Trump	118908	0.5898	0.949
Callum_Smith	118834	0.3038	0.5588
Premier_League	118833	0.2878	0.9375
Ana_de_Armas	118781	0.3758	0.8254
Beau_Biden	118693	0.5052	0.8784
List_of_Breaking_Bad_and_Better_Call_Saul_characters	118388	0.8294	0.9757
Bill_Camp	118381	0.739	0.9194
Prince_George,_Duke_of_Kent	118339	0.765	0.95
Henry_V_of_England	118292	0.4116	0.9609
Liam_Neeson	118035	0.2954	0.868
Brett_Ratner	118000	0.7527	0.936
Naomi_Watts	117936	0.5436	0.9536
Dakota_Johnson	117927	0.3542	0.8624
How_the_Grinch_Stole_Christmas_(2000_film)	117897	0.2172	0.7443
Bonnie_Bedelia	117710	0.5933	0.8824
Amyotrophic_lateral_sclerosis	117639	0.5951	0.9812
1964_United_States_presidential_election	117368	0.7853	0.973
Sarah_Paulson	116984	0.334	0.8713
Kate_Winslet	116847	0.2756	0.9343
Kubrat_Pulev	116783	0.199	0.7463
The_Beatles	116748	0.2625	0.963
2020_United_States_presidential_election_in_Georgia	116740	0.702	0.9353
Bradley_Cooper	116613	0.2871	0.9277
Juliette_Lewis	116586	0.3977	0.9324
Trace_Cyrus	116561	0.8238	0.7308
The_Crown_(season_4)	116357	0.2237	0.2925
Daniel_Stern_(actor)	116311	0.4448	0.9205
The_Matrix_4	116059	0.3162	0.6075
Keegan-Michael_Key	115997	0.3667	0.9012
Mimi_Rogers	115967	0.6761	0.9304
Kaley_Cuoco	115938	0.179	0.8089
Chevy_Chase	115842	0.2077	0.8414
Thor:_Ragnarok	115745	0.5499	0.8824
English_language	115709	0.3958	0.9827
Timothée_Chalamet	115632	0.0915	0.6296
Justine_Musk	115623	0.7167	0.4444
Malcolm_McDowell	115533	0.6799	0.9654
Donna_Reed	115511	0.2498	0.8491
Joseph_Stalin	115506	0.2594	0.927
Stellan_Skarsgård	115348	0.6196	0.9603
The_Prom_(film)	115290	0.1547	0.3571
Dennis_Quaid	114862	0.4757	0.9465
Ron_Howard	114854	0.3485	0.9403
Winona_Ryder	114788	0.3688	0.9155
Netflix	114788	0.1556	0.9748
Sex_position	114704	0.5739	0.6402
Shang-Chi_and_the_Legend_of_the_Ten_Rings	114525	0.6742	0.8537
Personal_relationships_of_Paul_McCartney	114427	0.7372	0.8462
Annie_Murphy	114406	0.3394	0.5
Phylicia_Rashad	114381	0.6043	0.9084
Ewan_McGregor	114349	0.316	0.8964
Russia	114306	0.288	0.9617
Kylie_Jenner	114047	0.2549	0.7348
Nazi_Germany	114039	0.5166	0.9871
Jonathan_Scott_(television_personality)	113952	0.585	0.7273
Nicholas_II_of_Russia	113706	0.4638	0.956
Johnny_Galecki	113699	0.3437	0.8269
Alexander_Hamilton	113696	0.2218	0.9444
Kelly_Loeffler	113632	0.0986	0.7607
Abraham_Lincoln	113541	0.2347	0.9462
Claudia_Jessie	113346	0.359	0.7273
Ireland_Baldwin	112893	0.6205	0.6364
United_States_House_of_Representatives	112890	0.4064	0.994
George_Clooney_filmography	112882	0.7529	0.1538
List_of_countries_by_GDP_(nominal)	112849	0.2863	0.9623
Yoko_Ono	112735	0.3827	0.9749
Sasha_Banks	112587	0.4666	0.8935
John_Lithgow	112499	0.4636	0.9315
Demi_Moore	112450	0.4283	0.9369
Natasha_Richardson	112286	0.426	0.8932
Steven_Spielberg	112254	0.373	0.961
Manhunt_(2017_TV_series)	112023	0.2716	0.6883
Alice_Braga	112006	0.6594	0.8846
Elizabeth_of_York	111937	0.6416	0.9576
United_States_Senate	111828	0.4016	0.9833
Denzel_Washington	111827	0.2816	0.885
Timothy_Olyphant	111756	0.4214	0.9143
Lewis_Hamilton	111737	0.192	0.8533
MacKenzie_Scott	111717	0.1817	0.7708
Riley_Keough	111677	0.7172	0.8571
Robert_De_Niro	111579	0.3274	0.9442
Prince_Louis_of_Cambridge	111570	0.8638	0.8837
Clint_Eastwood	111396	0.1839	0.9558
James_Caan	111133	0.3283	0.9103
Arsenal_F.C.	111098	0.3267	0.9501
Ashton_Kutcher	110952	0.3963	0.9255
Pixar	110831	0.3889	0.9049
Michael_Caine	110737	0.3213	0.937
Bruce_Willis	110699	0.2848	0.8764
Gigi_Hadid	110575	0.3183	0.8058
Home_Alone_3	110560	0.3394	0.7031
Marlon_Brando	110555	0.3234	0.9617
Marion_Davies	110450	0.4165	0.8182
Whole_Lotta_Red	110449	0.6403	0.3684
Liu_Yifei	110368	0.4164	0.8806
George_Washington	110317	0.2758	0.9391
Daveed_Diggs	110298	0.3607	0.84
Jason_Sudeikis	110240	0.4153	0.9271
Jacob_Fortune-Lloyd	110189	0.3321	0.5385
List_of_The_Umbrella_Academy_characters	110178	0.7275	0.7143
Emma_Thomas	110150	0.5848	0.8333
Ronnie_Knight	110008	0.4645	0.3077
Gloria_Hatrick_McLean	109992	0.8319	0.6
Theresa_May	109962	0.6391	0.9711
Allu–Konidela_family	109961	0.8358	0.6364
Harrison_Ford	109904	0.2587	0.8902
Canada	109867	0.234	0.9475
Human_Development_Index	109818	0.482	0.9797
Lorna_Luft	109627	0.757	0.8542
Michael_Douglas	109452	0.4131	0.958
Chelsea_F.C.	109257	0.3934	0.973
J._D._Vance	109224	0.298	0.6667
Holland_Taylor	109154	0.5395	0.9174
Angela_Bassett	109149	0.558	0.961
Jada_Pinkett_Smith	109111	0.4292	0.932
Richard_Harris	109019	0.4954	0.931
Anna_Paquin	109011	0.5981	0.9315
Jason_Schwartzman	108804	0.6205	0.952
Finneas_O'Connell	108774	0.5391	0.9365
Santa_Claus	108751	0.1174	0.8958
Ringo_Starr	108542	0.4005	0.9357
Kim_Seon-ho	108368	0.2704	0.6429
